year;population
2025;8231613070
2024;8161972572
2023;8091734930
2022;8021407192
2021;7954448391
2020;7887001292
2019;7811293698
2018;7729902781
2017;7645617954
2016;7558554526
2015;7470491872
2014;7381616244
2013;7291793585
2012;7201202485
2011;7110923765
2010;7021732148
2009;6932766416
2008;6844457662
2007;6757308781
2006;6671452015
2005;6586970132
2004;6503377772
2003;6420361634
2002;6337730342
2001;6254936459
2000;6171702993
1999;6089006339
1998;6007066690
1997;5924787816
1996;5842055734
1995;5758878982
1994;5675551255
1993;5591544797
1992;5505989816
1991;5418735891
1990;5327803110
1989;5234431732
1988;5141992542
1987;5049746397
1986;4958072838
1985;4868943465
1984;4782175519
1983;4697327573
1982;4612673421
1981;4528777306
1980;4447606236
1979;4368539528
1978;4292097502
1977;4217863796
1976;4144246377
1975;4070735277
1974;3996416096
1973;3920805042
1972;3844917680
1971;3769847865
1970;3694683794
